SKU,Product Name,Category,Brand,Cost Price
77.418.0001IS,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.1* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,6,75.74
77.418.0002IS,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.2* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,6,76.52
77.418.0005NIS,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.5* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,2,79.87
77.418.0010NQI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.10* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,2,90.02
77.418.0005WIS,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.5* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,70.63
77.418.0010WQI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.10* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,73.92
77.418.0015QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.15* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,78.11
77.418.0020QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.20* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,105.49
77.418.0025QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.25 ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,95.57
77.418.0030QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.30 ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,95.36
77.418.0050QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.50 ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,109.94
77.418.0075QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.75 ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,122.60
77.418.0100QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.100 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,127.03
77.418.0150QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.150 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,138.02
77.418.0200QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.200 ml, Tol.± 0.15 ml, SS 14/23",Vol. Glassware,2,157.43
77.418.0250QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.250 ml, Tol.± 0.15 ml, SS 14/23",Vol. Glassware,2,159.97
77.418.0300QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.300 ml, Tol.± 0.15 ml, SS 14/23",Vol. Glassware,2,168.92
77.418.0500QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.500 ml, Tol.± 0.25 ml, SS 19/26",Vol. Glassware,2,210.46
77.418.1000QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.1000 ml, Tol.± 0.4 ml, SS 24/29",Vol. Glassware,2,313.15
77.418.2000QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.2000 ml, Tol.± 0.6 ml, SS 29/32",Vol. Glassware,1,576.04
77.418.5000QI,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.5000 ml, Tol.± 0.6 ml, SS 34/35",Vol. Glassware,1,1528.98
75.418.0001IS,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.1* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,6,99.56
75.418.0002IS,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.2* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,6,99.57
75.418.0005NIS,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.5* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,2,117.36
75.418.0010NQI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.10* ml, Tol.± 0.025 ml, SS 7/16",Vol. Glassware,2,129.63
75.418.0005WIS,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.5* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,102.61
75.418.0010WQI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.10* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,128.28
75.418.0015QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.15* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,138.30
75.418.0020QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.20* ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,144.06
75.418.0025QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.25 ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,144.16
75.418.0030QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.30 ml, Tol.± 0.04 ml, SS 10/19",Vol. Glassware,2,158.49
75.418.0050QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.50 ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,169.28
75.418.0075QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.75 ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,211.78
75.418.0100QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.100 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,212.41
75.418.0150QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.150 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,241.33
75.418.0200QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.200 ml, Tol.± 0.15 ml, SS 14/23",Vol. Glassware,2,261.88
75.418.0250QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.250 ml, Tol.± 0.15 ml, SS 14/23",Vol. Glassware,2,264.33
75.418.0300QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.300 ml, Tol.± 0.15 ml, SS 14/23",Vol. Glassware,2,351.60
75.418.0500QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.500 ml, Tol.± 0.25 ml, SS 19/26",Vol. Glassware,2,371.20
75.418.1000QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.1000 ml, Tol.± 0.4 ml, SS 24/29",Vol. Glassware,2,587.18
75.418.2000QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.2000 ml, Tol.± 0.6 ml, SS 29/32",Vol. Glassware,1,974.46
75.418.5000QI,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With Individual Works Certificate, Cap.5000 ml, Tol.± 1.2 ml, SS 34/35",Vol. Glassware,1,3085.26
77.439.0020QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.20* ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,113.70
77.439.0025QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.25 ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,113.91
77.439.0050QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.50 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,121.72
77.439.0100QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.100 ml, Tol.± 0.15 ml, SS 19/26",Vol. Glassware,2,151.98
77.439.0200QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.200 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,176.78
77.439.0250QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.250 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,177.06
77.439.0500QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.500 ml, Tol.± 0.4 ml, SS 24/29",Vol. Glassware,2,246.72
77.439.1000QI,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With Individual Certificate, Cap.1000 ml, Tol.± 0.6 ml, SS 29/32",Vol. Glassware,2,377.24
75.439.0020QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.20* ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,128.13
75.439.0025QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.25 ml, Tol.± 0.06 ml, SS 12/21",Vol. Glassware,2,128.33
75.439.0050QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.50 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,135.78
75.439.0100QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.100 ml, Tol.± 0.15 ml, SS 19/26",Vol. Glassware,2,218.25
75.439.0200QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.200 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,265.17
75.439.0250QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.250 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,265.44
75.439.0500QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.500 ml, Tol.± 0.4 ml, SS 24/29",Vol. Glassware,2,403.11
75.439.1000QI,"Amber Colour Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A’With Individual certificate, Cap.1000 ml, Tol.± 0.6 ml, SS 29/32",Vol. Glassware,2,674.67
50.419.0005N,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.5* ml, Tol.± 0.02 ml, SS 7/16",Vol. Glassware,2,75.45
50.419.0010NQR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.10* ml, Tol.± 0.02 ml, SS 7/16",Vol. Glassware,2,77.97
50.419.0005W,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.5* ml, Tol.± 0.02 ml, SS 10/19",Vol. Glassware,2,68.03
50.419.0010WQR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.10* ml, Tol.± 0.02 ml, SS 10/19",Vol. Glassware,2,73.92
50.419.0020QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.20* ml, Tol.± 0.03 ml, SS 10/19",Vol. Glassware,2,79.51
50.419.0025QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.25 ml, Tol.± 0.03 ml, SS 10/19",Vol. Glassware,2,89.06
50.419.0050QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.50 ml, Tol.± 0.05 ml, SS 12/21",Vol. Glassware,2,106.30
50.419.0100QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.100 ml, Tol.± 0.08 ml, SS 14/23",Vol. Glassware,2,123.95
50.419.0200QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.200 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,147.24
50.419.0250QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.250 ml, Tol.± 0.12 ml, SS 14/23",Vol. Glassware,2,149.79
50.419.0500RQR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.500 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,210.46
50.419.1000QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.1000 ml, Tol.± 0.3 ml, SS 24/29",Vol. Glassware,2,309.27
50.419.2000QR,"Flask Volumetric, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.2000 ml, Tol.± 0.5 ml, SS 29/32",Vol. Glassware,1,574.89
74.419.0005N,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.5* ml, Tol.± 0.02 ml, SS 7/16",Vol. Glassware,2,114.72
74.419.0010NQR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.10* ml, Tol.± 0.02 ml, SS 7/16",Vol. Glassware,2,118.40
74.419.0005W,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.5* ml, Tol.± 0.02 ml, SS 10/19",Vol. Glassware,2,101.59
74.419.0010WQR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.10* ml, Tol.± 0.02 ml, SS 10/19",Vol. Glassware,2,107.14
74.419.0020QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.20 ml, Tol.± 0.03 ml, SS 10/19",Vol. Glassware,2,124.48
74.419.0025QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.25 ml, Tol.± 0.03 ml, SS 10/19",Vol. Glassware,2,124.59
74.419.0050QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.50 ml, Tol.± 0.05 ml, SS 12/21",Vol. Glassware,2,150.64
74.419.0100QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.100 ml, Tol.± 0.08 ml, SS 14/23",Vol. Glassware,2,195.38
74.419.0200QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.200 ml, Tol.± 0.1 ml, SS 14/23",Vol. Glassware,2,246.93
74.419.0250QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.250 ml, Tol.± 0.12 ml, SS 14/23",Vol. Glassware,2,249.47
74.419.0500RQR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.500 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,360.53
74.419.1000QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.1000 ml, Tol.± 0.3 ml, SS 24/29",Vol. Glassware,2,585.10
74.419.2000QR,"Flask Volumetric Amber, With Interchangeable Glass and Super Stopper™, Class A With USP Certificate, Cap.2000 ml, Tol.± 0.5 ml, SS 29/32",Vol. Glassware,1,988.58
50.439.0020RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.20* ml, Tol.± 0.08 ml, SS 12/21",Vol. Glassware,2,93.47
50.439.0025RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.25 ml, Tol.± 0.08 ml, SS 12/21",Vol. Glassware,2,93.50
50.439.0050RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.50 ml, Tol.± 0.08 ml, SS 14/23",Vol. Glassware,2,101.78
50.439.0100RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.100 ml, Tol.± 0.1 ml, SS 19/26",Vol. Glassware,2,133.18
50.439.0200RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.200 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,161.16
50.439.0250RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.250 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,161.38
50.439.0500RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.500 ml, Tol.± 0.3 ml, SS 24/29",Vol. Glassware,2,231.67
50.439.1000RQR,"Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.1000 ml, Tol.± 0.4 ml, SS 29/32",Vol. Glassware,2,367.49
74.439.0020RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.20* ml, Tol.± 0.08 ml, SS 12/21",Vol. Glassware,2,153.29
74.439.0025RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.25 ml, Tol.± 0.08 ml, SS 12/21",Vol. Glassware,2,153.50
74.439.0050RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.50 ml, Tol.± 0.08 ml, SS 14/23",Vol. Glassware,2,161.47
74.439.0100RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.100 ml, Tol.± 0.1 ml, SS 19/26",Vol. Glassware,2,241.92
74.439.0200RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.200 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,289.63
74.439.0250RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.250 ml, Tol.± 0.2 ml, SS 19/26",Vol. Glassware,2,289.90
74.439.0500RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.500 ml, Tol.± 0.3 ml, SS 24/29",Vol. Glassware,2,426.43
74.439.1000RQR,"Amber Flask Volumetric, Wide Mouth With Interchangeable Glass and Super Stopper™ Class 'A' With USP Certificate, Cap.1000 ml, Tol.± 0.4 ml, SS 29/32",Vol. Glassware,2,694.79
46.403.0015R,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.5 ml, Tol.± 0.02 ml, SS 9",Vol. Glassware,1,64.49
46.403.0025RQR,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.10 ml, Tol.± 0.02 ml, SS 9",Vol. Glassware,1,72.75
46.403.0035RQR,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.20 ml, Tol.± 0.03 ml, SS 9",Vol. Glassware,1,76.44
46.403.0045RQR,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.25 ml, Tol.± 0.03 ml, SS 9",Vol. Glassware,1,96.40
46.403.0055RQR,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.50 ml, Tol.± 0.05 ml, SS 9",Vol. Glassware,1,93.95
46.403.0065RQR,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.100 ml, Tol.± 0.08 ml, SS 13",Vol. Glassware,1,111.52
46.403.0075RQR,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.200 ml, Tol.± 0.1 ml, SS 16",Vol. Glassware,1,141.37
46.403.0085RQR,"Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.250 ml, Tol.± 0.12 ml, SS 16",Vol. Glassware,1,146.16
46.412.0015R,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.5 ml, Tol.± 0.02 ml, SS 9",Vol. Glassware,1,563.88
46.412.0025QR,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.10 ml, Tol.± 0.02 ml, SS 9",Vol. Glassware,1,109.67
46.412.0035QR,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.20 ml, Tol.± 0.03 ml, SS 9",Vol. Glassware,1,115.40
46.412.0045QR,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.25 ml, Tol.± 0.03 ml, SS 9",Vol. Glassware,1,135.63
46.412.0055QR,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.50 ml, Tol.± 0.05 ml, SS 9",Vol. Glassware,1,155.18
46.412.0065QR,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.100 ml, Tol.± 0.08 ml, SS 13",Vol. Glassware,1,184.64
46.412.0075QR,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.200 ml, Tol.± 0.1 ml, SS 16",Vol. Glassware,1,240.91
46.412.0085QR,"Amber Volumetric Flask-ASTM, Narrow Mouth With Glass Stopper Class A with Individual Works Certificate, Cap.250 ml, Tol.± 0.12 ml, SS 16",Vol. Glassware,1,243.46
46.406.0001,"Flask Volumetric, Micro with Hexagonal Base & Penny Head Glass Stopper Class ASTM ""Class A"", Cap.1 ml, Tol.± 0.01 ml, SS 8",Vol. Glassware,1,87.00
46.406.0002,"Flask Volumetric, Micro with Hexagonal Base & Penny Head Glass Stopper Class ASTM ""Class A"", Cap.2 ml, Tol.± 0.015 ml, SS 8",Vol. Glassware,1,97.00
46.406.0003,"Flask Volumetric, Micro with Hexagonal Base & Penny Head Glass Stopper Class ASTM ""Class A"", Cap.3 ml, Tol.± 0.015 ml, SS 8",Vol. Glassware,1,100.00
46.406.0004,"Flask Volumetric, Micro with Hexagonal Base & Penny Head Glass Stopper Class ASTM ""Class A"", Cap.4 ml, Tol.± 0.02 ml, SS 8",Vol. Glassware,1,110.00
46.406.0005,"Flask Volumetric, Micro with Hexagonal Base & Penny Head Glass Stopper Class ASTM ""Class A"", Cap.5 ml, Tol.± 0.02 ml, SS 8",Vol. Glassware,1,115.00
46.406.0010,"Flask Volumetric, Micro with Hexagonal Base & Penny Head Glass Stopper Class ASTM ""Class A"", Cap.10 ml, Tol.± 0.02 ml, SS 9",Vol. Glassware,1,120.00
46.406.0025,"Flask Volumetric, Micro with Hexagonal Base & Penny Head Glass Stopper Class ASTM ""Class A"", Cap.25 ml, Tol.± 0.03 ml, SS 9",Vol. Glassware,1,150.00
46.408.0001,"Flask Volumetric, Amber, Micro with Hexagonal Base & Penny Head Glass Stopper ASTM ""Class A"", Cap.1 ml, Tol.± 0.01 ml, SS 8",Vol. Glassware,1,120.00
46.408.0002,"Flask Volumetric, Amber, Micro with Hexagonal Base & Penny Head Glass Stopper ASTM ""Class A"", Cap.2 ml, Tol.± 0.015 ml, SS 8",Vol. Glassware,1,125.00
46.408.0003,"Flask Volumetric, Amber, Micro with Hexagonal Base & Penny Head Glass Stopper ASTM ""Class A"", Cap.3 ml, Tol.± 0.015 ml, SS 8",Vol. Glassware,1,130.00
46.408.0004,"Flask Volumetric, Amber, Micro with Hexagonal Base & Penny Head Glass Stopper ASTM ""Class A"", Cap.4 ml, Tol.± 0.02 ml, SS 8",Vol. Glassware,1,140.00
46.408.0005,"Flask Volumetric, Amber, Micro with Hexagonal Base & Penny Head Glass Stopper ASTM ""Class A"", Cap.5 ml, Tol.± 0.02 ml, SS 8",Vol. Glassware,1,145.00
46.408.0010,"Flask Volumetric, Amber, Micro with Hexagonal Base & Penny Head Glass Stopper ASTM ""Class A"", Cap.10 ml, Tol.± 0.02 ml, SS 9",Vol. Glassware,1,150.00
46.408.0025,"Flask Volumetric, Amber, Micro with Hexagonal Base & Penny Head Glass Stopper ASTM ""Class A"", Cap.25 ml, Tol.± 0.03 ml, SS 9",Vol. Glassware,1,190.00
